Naam,Adres,Postcode,Plaats,Opgericht,Klanten,Domeinen,Servers,Medewerkers (fte),NPS (%),Resellers toegestaan,Geschatte omzet (*miljoen euro),Diensten
BelTex IT- Uwvoipcentrale.nl - Texels - pinnen-over-ip.nl,Schoudieck 63,1791 WE,Den Burg,00-00-0000,120,160,4,5.0,-100,1,1.0,"Domeinnaam, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Breedband internet, VoIP-telefonie."
Computel Standby,Schumanpark 29-31,7336 AM,Apeldoorn,01-10-1995,Geen opgave,Geen opgave,Geen opgave,7.0,-100,1,1.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server."
MHASMO bv,Spaarndammerdijk 5a,1013ZM,Amsterdam,22-02-2007,Geen opgave,Geen opgave,Geen opgave,9.0,-100,1,1.8,"Domeinnaam, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server."
Superior,Schootense Dreef 22,5708 HZ,Helmond,27-03-1999,2000,10000,250,5.0,-100,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Alere Advies,Notaris Kruytstraat 10,2661HP,Bergschenhoek,12-06-2014,150,1000,250,6.0,-100,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Webparking,Cypresbaan 31A,2908 LT,Capelle aan den IJssel,01-01-2004,Geen opgave,Geen opgave,Geen opgave,6.0,-100,,1.2,"Domeinnaam, Webhosting, SSL-Certificaat."
Serverion,Krammer 8,3232 HE,Brielle,01-08-2015,950,3500,290,6.0,-100,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Usenet toegang, Managed server, E-mail hosting."
Trans-iX,Westhavenweg 105b,1042 BB,Amsterdam,23-09-2004,400,1000,Geen opgave,11.0,-100,1,2.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Web2All B.V.,Gulickstraat 17,5931 LA,Tegelen,01-06-2006,Geen opgave,Geen opgave,Geen opgave,6.0,-100,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server."
Fieber,Startbaan 8,1185XR,AMSTELVEEN,00-00-0000,Geen opgave,Geen opgave,Geen opgave,19.0,-100,,3.8,"Breedband internet, VoIP-telefonie, Netwerk connectiviteit."
Solcon,Het Spaarne 11,8253 PE,Dronten,01-06-1996,65000,Geen opgave,Geen opgave,130.0,40,1,26.0,"Domeinnaam, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
RealHosting,Wateringweg 143,2031EG,Haarlem,11-05-2001,Geen opgave,70000,Geen opgave,18.0,90,1,3.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Virtual Private Server, SSL-Certificaat, Managed server."
Qweb Internet Services B.V.,Rivium Quadrant 81 10e,2909LC,Capelle a/d IJssel,01-04-2000,2500,15000,500,7.0,96,1,1.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Open Domain Registry,Rucphensebaan 30a,4706PJ,Roosendaal,01-01-2005,Geen opgave,Geen opgave,Geen opgave,10.0,100,1,2.0,"Domeinnaam, Domein reselling, SSL-Certificaat."
